song_id,song_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
7K3BhSpAxZBznislvUMVtn,Last Night,0.492,0.673,-5.431,0.0347,0.413,0.0,0.137,0.488,203.812,163855
7Fzl7QaTu47WyP9R5S5mh5,Lies Lies Lies,0.486,0.702,-5.758,0.0298,0.239,7.54e-05,0.0912,0.382,81.053,198069
0CFhbNsY7CsuSkBQOiLPzz,Or What,0.731,0.586,-7.564,0.172,0.116,0.0,0.0987,0.147,125.845,199165
1SjsVdSXpwm1kTdYEHoPIT,Sun to Me,0.505,0.27,-9.165,0.0333,0.593,0.0,0.133,0.557,98.721,163032
3WSOUb3U7tqURbBSgZTrZX,Casual,0.508,0.411,-6.95,0.0269,0.226,0.0,0.0571,0.34,131.008,232796
0PAcdVzhPO4gq1Iym9ESnK,Thinkin’ Bout Me,0.659,0.789,-5.723,0.0293,0.487,0.0,0.115,0.468,139.982,177388
24XihnoVPWXlKJ4BgXqjVM,It's ok I'm ok,0.754,0.514,-7.721,0.0471,0.0257,3.98e-05,0.0808,0.363,114.997,156522
2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,0.466,0.872,-3.344,0.0336,0.0156,0.0,0.121,0.806,184.115,190428
5U8jvRKKzcc3XjBB2CNZaZ,LID,0.732,0.767,-7.677,0.278,0.0667,0.0,0.316,0.569,92.572,144516
77p59nG1oU5pzd20rPxBwC,PLAYBOYBUNNIES,0.829,0.539,-8.037,0.173,0.296,0.000173,0.105,0.578,106.035,147170
64f3yNXsi2Vk76odcHCOnw,Bauch Beine Po,0.954,0.746,-6.113,0.0995,0.0272,0.00227,0.0892,0.886,123.969,133933
3fgehc497TFqKH1zBL2YNK,Heavy Is the Crown,0.571,0.928,-3.725,0.0453,0.00932,0.0,0.297,0.489,127.939,167012
7bkUa9kDFGxgCC7d36dzFI,Rote Flaggen,0.359,0.336,-12.895,0.0422,0.773,0.0,0.184,0.109,109.94,224592
4b3W0IbHDwHCvjSs708Tr4,Wunder,0.857,0.687,-5.777,0.0785,0.109,0.000577,0.0971,0.531,99.969,176492
3ovTEUMYEoiT8ikEMVXBmS,Lilien,0.862,0.549,-6.635,0.0632,0.243,0.000117,0.122,0.415,119.989,160984
5ubQrs2wWoSgRwEaPZd4eS,H&K,0.731,0.716,-9.122,0.315,0.0801,0.0,0.308,0.656,126.883,151665
3pPMgoouYtezLiBTEeL9be,VEMPA,0.919,0.609,-4.492,0.0633,0.129,0.000457,0.0627,0.866,133.981,134528
3aJT51ya8amzpT3TKDVipL,FTW,0.725,0.711,-7.91,0.386,0.142,0.0,0.145,0.749,91.937,156522
5AQyVssLj6Xj5ryPENxntm,Picasso,0.721,0.605,-8.269,0.3,0.197,0.0,0.134,0.828,78.508,147076
5aMvdnOSZxslL2I083yxvR,BELOHNEN,0.758,0.942,-5.216,0.269,0.151,0.00185,0.498,0.838,149.91,130665
3JG1uFc40wfyrqaWC7iv0e,i like the way you kiss me,0.599,0.946,-4.263,0.0447,0.000938,0.0106,0.0826,0.747,151.647,142515
0io16MKpbeDIdYzmGpQaES,Embrace It,0.882,0.645,-7.233,0.0601,0.475,4.13e-05,0.057,0.788,114.933,104419
3qcreqi8RaGqahtJSQDxNI,Panama,0.87,0.366,-7.503,0.41,0.465,1.15e-05,0.111,0.715,98.016,157135
5JLbgRkto4OrrkWgAHcJZT,Bundeswehr,0.731,0.413,-12.253,0.25,0.0854,0.0,0.137,0.559,137.911,97391
4yNd1xo3DZ75MqPMscauEG,Moonlight Dreams,0.777,0.573,-6.237,0.037,0.0719,0.0,0.216,0.484,99.986,146950
6Z1C9gQnScliphROi2DabV,CUP,0.713,0.688,-7.819,0.36,0.0501,0.0,0.0662,0.559,95.022,134004
1BJJbSX6muJVF2AK7uH1x4,Move,0.727,0.782,-8.529,0.042,0.0563,0.336,0.225,0.655,119.992,177599
57gjUsErLOYxTOqyiK6CVm,Rapstar,0.855,0.86,-5.356,0.294,0.317,1.44e-05,0.166,0.848,124.008,186256
6leQi7NakJQS1vHRtZsroe,Mittelmeer,0.681,0.417,-8.172,0.111,0.0895,0.0115,0.146,0.158,177.965,179107
2nLtzopw4rPReszdYBJU6h,Numb,0.488,0.87,-4.185,0.0421,0.00353,0.0,0.484,0.211,110.072,187520
5nPbKG04fhLkIAjcPFaZq7,I Adore You (feat. Daecolm),0.704,0.787,-6.751,0.0462,0.00926,0.00538,0.159,0.31,119.996,214000
0rtDE9zfXbamTlRUSwY7zy,Belong Together,0.646,0.668,-5.203,0.0282,0.491,0.0,0.212,0.64,90.97,148318
1CfXReZpkv5l10m1Zc1mGn,Meer,0.325,0.599,-8.358,0.0512,0.247,9.65e-05,0.155,0.291,176.597,226152
60a0Rd6pjrkxjPbaKzXjfq,In the End,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143,216880
59hwJ5R44DZIGrP5LX8xPT,Beifahrer,0.479,0.617,-5.458,0.0338,0.213,0.0,0.135,0.132,88.434,184413
0Rgdhptwk0A3Clbu5RpYI1,Starboy,0.737,0.725,-7.581,0.372,0.0515,0.0,0.297,0.539,96.372,170899
3JvKfv6T31zO0ini8iNItO,Another Love,0.445,0.537,-8.532,0.04,0.695,1.65e-05,0.0944,0.131,122.769,244360
3ilgxZl5g7MOQCUiky3VOG,Ms. Jackson,0.775,0.694,-7.344,0.244,0.177,4.06e-05,0.155,0.655,81.986,147587
4MSj19TwYBLgDFj3ddEeco,Black Friday (pretty like the sun),0.853,0.618,-10.833,0.0923,0.633,0.89,0.0972,0.32,126.031,145599
1cXo8i9dgutdqjhjz3Zwqq,eehhhyyy,0.739,0.766,-6.459,0.0729,0.272,0.0,0.42,0.82,133.067,135082
3U5JVgI2x4rDyHGObzJfNf,Unwritten,0.706,0.8,-6.333,0.0399,0.00584,0.0,0.0822,0.629,100.011,259333
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,0.635,0.601,-6.129,0.0295,0.246,0.0,0.11,0.332,123.994,172533
59NraMJsLaMCVtwXTSia8i,Prada,0.638,0.717,-5.804,0.0375,0.001,1.79e-06,0.113,0.422,141.904,132359
5QllDVWTd3lOLcceZsekwX,1994,0.781,0.731,-5.972,0.0882,0.0366,0.000953,0.114,0.672,166.148,105332
1CDQzbCz4KSQxHe7LMEgRM,Houdini,0.936,0.878,-2.798,0.0723,0.0283,2.31e-06,0.0689,0.902,126.992,227032
